ax,ay,az,gx,gy,gz,temperature,flame
2276.0,-812.0,22644.0,-31.0,2494.0,-576.0,194.0,1.0
-10104.0,-352.0,11844.0,-533.0,847.0,301.0,196.0,1.0
-15656.0,4516.0,8736.0,-1305.0,-2726.0,1015.0,191.0,1.0
392.0,1988.0,14764.0,-2449.0,-2106.0,351.0,231.0,1.0
5148.0,-1204.0,6900.0,-2209.0,-1627.0,-68.0,198.0,1.0
1520.0,292.0,15052.0,-1388.0,-2413.0,-345.0,192.0,1.0
7612.0,-1768.0,24576.0,-873.0,-657.0,-615.0,225.0,1.0
3680.0,-2492.0,25500.0,-154.0,-163.0,-799.0,204.0,1.0
8028.0,-1460.0,20500.0,98.0,1401.0,-757.0,207.0,1.0
4008.0,-776.0,23364.0,88.0,2484.0,-670.0,192.0,1.0
-2036.0,-856.0,18660.0,-378.0,2182.0,-283.0,212.0,1.0
-8000.0,-1292.0,15808.0,-519.0,1013.0,194.0,206.0,1.0
-9568.0,796.0,9244.0,-858.0,-1222.0,822.0,204.0,1.0
-8824.0,3052.0,8596.0,-1462.0,-2773.0,927.0,195.0,1.0
-3704.0,3348.0,12428.0,-2118.0,-2091.0,508.0,212.0,1.0
-2640.0,1312.0,15028.0,-2474.0,-1938.0,-3.0,205.0,1.0
3044.0,624.0,11580.0,-2009.0,-1586.0,-59.0,202.0,1.0
1128.0,-532.0,15572.0,-1645.0,-2149.0,-219.0,199.0,1.0
2116.0,-936.0,18808.0,-1175.0,-1955.0,-487.0,197.0,1.0
6200.0,-1864.0,25548.0,-809.0,-739.0,-688.0,235.0,1.0
3092.0,-2256.0,27488.0,-408.0,-523.0,-742.0,209.0,1.0
3524.0,-2524.0,26240.0,-83.0,687.0,-759.0,201.0,1.0
6060.0,-2284.0,23128.0,141.0,1631.0,-770.0,217.0,1.0
592.0,-2456.0,27784.0,105.0,2529.0,-682.0,193.0,1.0
3668.0,-2320.0,24556.0,-330.0,2348.0,-389.0,206.0,1.0
3516.0,-684.0,21160.0,-441.0,1377.0,-28.0,218.0,1.0
-12188.0,2708.0,5672.0,-549.0,78.0,551.0,198.0,1.0
-15108.0,2344.0,7388.0,-1009.0,-1930.0,919.0,188.0,1.0
-16812.0,4192.0,10860.0,-1656.0,-2740.0,867.0,194.0,1.0
-1888.0,1292.0,15236.0,-2351.0,-1935.0,395.0,232.0,1.0
988.0,1416.0,13256.0,-2375.0,-1847.0,-42.0,202.0,1.0
3828.0,-1212.0,6764.0,-1859.0,-1615.0,-122.0,185.0,1.0
4120.0,-1940.0,18788.0,-1308.0,-2448.0,-377.0,188.0,1.0
10204.0,-1952.0,15332.0,-843.0,-749.0,-659.0,230.0,1.0
10760.0,-1792.0,20560.0,-258.0,-282.0,-746.0,205.0,1.0
5772.0,-572.0,21832.0,139.0,1545.0,-799.0,208.0,1.0
-656.0,-1996.0,29204.0,138.0,2439.0,-686.0,191.0,1.0
1268.0,-2640.0,26644.0,-452.0,1851.0,-204.0,238.0,1.0
-12064.0,2436.0,7908.0,-552.0,271.0,493.0,194.0,1.0
-15328.0,4416.0,8536.0,-1363.0,-2630.0,998.0,197.0,1.0
-12676.0,3768.0,9976.0,-2130.0,-2193.0,536.0,217.0,1.0
2728.0,-984.0,8540.0,-2411.0,-1899.0,-27.0,201.0,1.0
4348.0,-500.0,8984.0,-1677.0,-1904.0,-189.0,209.0,1.0
1376.0,-1100.0,18640.0,-1184.0,-1847.0,-494.0,198.0,1.0
3320.0,-2292.0,26572.0,-257.0,-307.0,-779.0,206.0,1.0
7772.0,-1368.0,21120.0,113.0,1683.0,-730.0,214.0,1.0
-192.0,-2120.0,28668.0,-185.0,2493.0,-492.0,203.0,1.0
-12316.0,888.0,11532.0,-541.0,699.0,326.0,199.0,1.0
-15408.0,4848.0,8280.0,-1264.0,-2553.0,1022.0,190.0,1.0
-10092.0,2448.0,9720.0,-2311.0,-2057.0,417.0,229.0,1.0
5088.0,-1264.0,7196.0,-2174.0,-1624.0,-105.0,200.0,1.0
808.0,-784.0,17540.0,-1309.0,-2369.0,-436.0,193.0,1.0
8392.0,-1964.0,15540.0,-640.0,-401.0,-704.0,219.0,1.0
7544.0,-1168.0,21196.0,69.0,1215.0,-798.0,223.0,1.0
-916.0,-2548.0,29528.0,-16.0,2496.0,-577.0,192.0,1.0
1488.0,-668.0,17360.0,-514.0,1203.0,158.0,207.0,1.0
-15436.0,3492.0,8860.0,-1186.0,-2387.0,974.0,197.0,1.0
-3912.0,3576.0,12124.0,-2258.0,-2264.0,488.0,228.0,1.0
2268.0,500.0,11488.0,-2135.0,-1624.0,-110.0,197.0,1.0
7056.0,-2180.0,16492.0,-1191.0,-2225.0,-463.0,191.0,1.0
8452.0,-1748.0,24292.0,-378.0,-316.0,-762.0,205.0,1.0
5500.0,-2024.0,22744.0,247.0,1991.0,-746.0,206.0,1.0
2156.0,-504.0,18048.0,-304.0,2391.0,-420.0,220.0,1.0
-11420.0,64.0,12132.0,-625.0,-103.0,626.0,193.0,1.0
-15304.0,4768.0,8344.0,-1525.0,-2930.0,947.0,188.0,1.0
1120.0,1568.0,14000.0,-2522.0,-2078.0,193.0,216.0,1.0
4860.0,-1148.0,8316.0,-1768.0,-1799.0,-193.0,201.0,1.0
2036.0,-1196.0,19696.0,-999.0,-1228.0,-577.0,203.0,1.0
3888.0,-2420.0,24792.0,-240.0,-178.0,-771.0,196.0,1.0
4608.0,-812.0,23108.0,273.0,2170.0,-777.0,193.0,1.0
-272.0,-2884.0,27952.0,-358.0,2238.0,-331.0,228.0,1.0
-13132.0,2640.0,7436.0,-525.0,366.0,466.0,196.0,1.0
-16164.0,4800.0,10508.0,-1312.0,-2630.0,978.0,193.0,1.0
-10780.0,3208.0,9652.0,-2128.0,-2141.0,595.0,220.0,1.0
1252.0,-1164.0,7808.0,-2364.0,-2159.0,62.0,201.0,1.0
5624.0,-616.0,7736.0,-1705.0,-1735.0,-164.0,202.0,1.0
4416.0,-796.0,14184.0,-1352.0,-1745.0,-522.0,189.0,1.0
5536.0,-2000.0,26256.0,-725.0,-642.0,-681.0,232.0,1.0
3536.0,-2408.0,25512.0,-116.0,157.0,-761.0,197.0,1.0
8268.0,-1176.0,20092.0,264.0,1929.0,-772.0,207.0,1.0
2500.0,-536.0,20252.0,-127.0,2604.0,-527.0,198.0,1.0
-7452.0,-1036.0,16904.0,-473.0,1075.0,117.0,215.0,1.0
-10052.0,756.0,10004.0,-742.0,-620.0,763.0,202.0,1.0
