ax,ay,az,gx,gy,gz,temp,flame,label
2820,4908.0,30816.0,-259.0,178.0,303.0,121.0,1.0,0
3936,4944.0,30680.0,888.0,2410.0,197.0,112.0,1.0,0
8540,296.0,32364.0,2251.0,4198.0,46.0,112.0,1.0,0
2124,3736.0,14420.0,1914.0,3480.0,-359.0,137.0,1.0,0
2124,3736.0,14420.0,1914.0,3480.0,-359.0,88.0,1.0,0
11104,1320.0,29464.0,2348.0,4604.0,511.0,108.0,1.0,0
9512,4532.0,25940.0,1263.0,2737.0,-711.0,142.0,1.0,0
-3908,3796.0,9152.0,-250.0,1125.0,-718.0,159.0,1.0,0
7724,5948.0,22400.0,1785.0,3430.0,-399.0,136.0,1.0,0
-3288,6824.0,31452.0,1129.0,2701.0,163.0,128.0,1.0,0
-13836,1352.0,26655.0,-1.0,-1.0,-1.0,152.0,1.0,0
140,2340.0,-4432.0,-3744.0,-1411.0,617.0,75.0,1.0,0
-4044,-11444.0,20384.0,-320.0,455.0,-1172.0,96.0,1.0,0
548,4984.0,14812.0,-1241.0,-614.0,-393.0,169.0,1.0,0
9900,2988.0,27696.0,2260.0,4500.0,321.0,84.0,1.0,0
-13824,3372.0,31332.0,-1387.0,-4127.0,143.0,117.0,1.0,0
6088,-1608.0,2224.0,-911.0,-2940.0,952.0,130.0,1.0,0
7356,-560.0,-5108.0,-2102.0,666.0,547.0,127.0,1.0,0
-508,7528.0,-5804.0,-4193.0,-2397.0,744.0,83.0,1.0,0
-13632,-9032.0,24636.0,-2428.0,-2376.0,-393.0,137.0,1.0,0
-15796,-10496.0,17788.0,-1552.0,-1820.0,-522.0,136.0,1.0,0
-4788,-10996.0,20960.0,-607.0,38.0,-1090.0,96.0,1.0,0
196,1312.0,12564.0,-1778.0,-1565.0,-426.0,123.0,1.0,0
8096,5048.0,23860.0,2146.0,4487.0,156.0,80.0,1.0,0
-7728,6692.0,32767.0,-832.0,-1693.0,24.0,72.0,1.0,0
-8556,-17544.0,15264.0,-1603.0,-4923.0,131.0,158.0,1.0,0
-13948,-2504.0,24060.0,-853.0,-3643.0,863.0,128.0,1.0,0
8300,-900.0,-5688.0,-1620.0,-156.0,688.0,96.0,1.0,0
-17424,-10544.0,20268.0,-3651.0,-3595.0,378.0,143.0,1.0,0
-15480,-10644.0,22504.0,-1543.0,-1831.0,-549.0,138.0,1.0,0
-4128,-9924.0,22948.0,-735.0,110.0,-1033.0,112.0,1.0,0
-16420,-10384.0,22624.0,-759.0,-515.0,-839.0,134.0,1.0,0
-5736,-7120.0,25420.0,-389.0,158.0,-993.0,106.0,1.0,0
-7216,4324.0,11768.0,-1324.0,-987.0,-1340.0,131.0,1.0,0
-10776,-6104.0,20340.0,-1499.0,-1243.0,-1340.0,84.0,1.0,0
-7360,4668.0,13984.0,-2106.0,-1860.0,-813.0,90.0,1.0,0
-3540,2328.0,10592.0,-1917.0,-1366.0,-536.0,111.0,1.0,0
-7232,2800.0,17024.0,-2148.0,-1490.0,-763.0,98.0,1.0,0
-6760,7468.0,10032.0,-2112.0,-1865.0,-650.0,88.0,1.0,0
-1156,1128.0,18431.0,-1.0,-1.0,-1.0,79.0,1.0,0
9916,2932.0,27128.0,1917.0,3543.0,-493.0,112.0,1.0,0
