ax,ay,az,gx,gy,gz,temp,flame
9424,-1544,-4364,-2463,511,610,128,1
-11016,-9332,19940,-2131,-2435,-800,149,1
-4944,-10484,21588,-352,1225,-1181,136,1
-8136,-168,16648,-1752,-1440,-1016,137,1
648,3704,12964,-1213,-1019,-129,150,1
-3860,2408,14752,1013,2535,20,84,1
8216,3080,30036,2038,4285,469,100,1
-10280,6484,32767,79,422,166,128,1
4904,5356,30736,-816,-1320,226,88,1
-14588,-4108,31764,-1549,-5454,-463,145,1
4324,820,5652,-630,-2310,967,139,1
8312,-1076,-6396,-3527,-1653,519,103,1
-13580,-9160,19144,-1448,-1678,-669,112,1
-9000,2840,12388,-1345,-1124,-1026,139,1
4076,4972,17616,2357,4442,290,136,1
-15848,-308,31336,-1266,-4114,-71,170,1
-1004,3020,-5960,-2266,420,532,136,1
0,0,0,0,0,0,159,1
9984,1924,26288,1612,3622,113,144,1
7220,2164,31968,36,983,210,132,1
-15876,-836,32767,-1032,-4447,73,129,1
5508,-2092,2040,-1462,-907,718,84,1
-15596,-6936,12436,-4630,-3929,48,148,1
-112,-9400,20712,-368,811,-1150,122,1
5460,5396,18616,1846,3643,99,112,1
-14992,-1132,30888,-1383,-3209,-160,72,1
7316,-856,-84,-1862,501,786,152,1
-8560,-10208,21576,-768,-28,-881,147,1
-3324,1540,14044,-1342,-1059,-87,175,1
-6060,7824,31976,1016,2600,421,96,1
-16608,1816,-1,-1,-1,-1,149,1
-124,2696,9608,-1033,-1384,826,95,1
6012,-220,3272,-962,-319,957,137,1
-2336,8192,-5408,-3308,-881,679,148,1
-8832,-10124,21508,-3076,-3417,-469,128,1
-4276,-8256,23656,-603,810,-1169,96,1
-5264,968,14220,-1519,-1097,-113,166,1
-15904,2552,32767,-626,-549,23,68,1
4008,2748,8380,-1118,-1100,836,143,1
-2300,8128,-6656,-4214,-2267,662,72,1
-8956,8128,-6656,-4214,-2267,662,108,1
-11004,4372,11640,-1904,-1953,-1014,129,1
-9088,2108,12616,-2345,-2187,-425,131,1
-4956,3128,15356,-1785,-1770,-246,147,1
-3752,2136,14632,1427,3009,-124,110,1
6964,3884,32767,1270,2952,394,112,1
-13160,4216,32767,-740,-1326,98,128,1
4780,3768,31472,-570,-912,102,128,1
-13076,-3328,32767,-1241,-3532,-132,127,1
-1576,1744,9588,-1276,-4578,-125,151,1
3460,692,7924,-1022,-1067,903,152,1
3372,408,-7608,-2849,-43,825,96,1
-1776,7148,-7220,-3594,-1594,429,118,1
-15792,-8184,11432,-4330,-3361,584,104,1
-3672,6904,-4668,-4227,-3264,584,91,1
-13672,-9908,18088,-3276,-3640,-486,132,1
-15324,-7952,9600,-2720,-2815,-617,135,1
-14412,-8552,15928,-2970,-3320,-582,148,1
-13004,-8980,17588,-1,-1,-1,74,1
-15252,-8128,14636,-1311,-1726,-856,145,1
-2220,-9428,18724,-393,1166,-1290,143,1
0,0,0,0,0,0,100,1
10160,1684,28312,2602,5086,407,161,1
-820,6332,30304,501,1689,552,155,1
-2380,1628,10184,-1230,-4622,-217,143,1
5748,-128,3092,-1453,152,898,137,1
-15628,-6240,11464,-3951,-4128,-234,179,1
-5396,-7764,18488,-556,583,-1155,143,1
-7180,-3456,18672,-1175,-391,-1174,135,1
-3188,1888,13648,-1168,-789,-157,143,1
1496,3796,14576,2292,4411,206,108,1
6092,3816,32767,1101,2912,437,114,1
-12128,-4200,25116,-1425,-4054,-281,144,1
-1908,1304,10328,-1036,-1826,787,145,1
-240,8340,-7020,-3772,-1508,760,120,1
-3932,-9344,19340,-432,230,-1101,84,1
-8352,4528,13408,-519,551,-73,148,1
-2608,6032,29928,-524,-881,37,118,1
8768,-664,-6240,-1726,161,755,100,1
-1500,-9160,23216,-1311,-1393,-811,144,1
-6328,-420,17592,-1770,-1052,-777,118,1
9944,2572,29548,2340,4592,276,149,1
-13204,-4008,23404,-1335,-3375,-176,119,1
-2564,1328,9944,-357,-2725,717,134,1
-1280,7796,-6136,-3135,-467,759,80,1
-1128,-8876,22656,-1551,-1985,-803,139,1
-6104,1188,13736,-2169,-1688,-481,121,1
6940,2660,32536,2355,4919,378,114,1
-17456,1192,32767,-758,-4064,187,149,1
5112,-1036,-3308,-1770,-154,799,100,1
-15584,-6944,11932,-4283,-4226,243,142,1
-8200,-9200,21192,-683,736,-1094,113,1
-7728,2060,14356,-1638,-1179,-921,116,1
9376,372,29528,1195,2952,28,142,1
7440,3648,31500,-187,217,148,130,1
3700,2832,8304,-1022,-1610,743,157,1
0,0,0,0,0,0,143,1
-6728,-144,16164,-2057,-1503,-603,84,1
8956,1768,27496,2183,4499,182,130,1
-10824,7544,32767,343,1630,281,124,1
-13148,-5236,25512,-681,-3941,52,112,1
-1820,8404,-6332,-3673,-2009,671,104,1
-6776,80,14464,-567,375,-1121,68,1
8856,1220,28308,2013,4298,433,136,1
1276,2784,9368,-913,-2352,730,147,1
-11156,-2320,3860,-4112,-3214,483,82,1
-1092,-9056,23080,-341,781,-1145,116,1
-812,3868,13196,336,1831,-91,136,1
-3240,6124,32767,113,1020,513,155,1
-4984,252,12287,-1,-1,-1,167,1
-4308,7940,-5100,-2606,50,614,96,1
-11680,-3392,4376,-3271,-3790,-346,160,1
-8632,-9988,19636,-1725,-1695,-838,116,1
-7952,-3012,19496,-368,966,-1384,133,1
-6928,-2080,18964,-1514,-1117,-1083,128,1
9044,468,28516,2040,3998,142,129,1
5176,4204,29768,-1097,-2536,-102,70,1
5500,-188,5080,-1341,-41,824,151,1
-13168,-9404,5080,-1341,-41,824,104,1
3692,3056,20048,447,1586,72,146,1
3640,4580,30292,2003,4584,479,105,1
-2832,6932,31148,-923,-1885,-18,88,1
-1800,688,10972,-953,-3754,176,89,1
6308,-1136,-7756,-1214,12,835,96,1
-1512,7812,-5876,-4259,-4055,350,108,1
-4616,-10076,20964,-505,553,-1014,118,1
-7320,316,13920,-1388,-801,-1060,140,1
-8284,1824,13872,-2110,-1767,-332,72,1
7020,3080,32584,1411,3824,528,138,1
7888,-892,-360,-897,-1469,749,128,1
-3712,-9944,20272,-2466,-2820,-864,134,1
-6496,-6492,18108,-1008,128,-1292,120,1
-3140,2496,13648,-1263,-597,-122,149,1
8556,816,27040,2035,4582,606,112,1
-2668,6560,31156,-527,-679,76,137,1
4648,1120,5020,-684,-2134,801,116,1
-16104,-6124,8084,-3992,-2456,782,92,1
-12276,-9468,19236,-1320,-1196,-966,134,1
-7656,1292,13852,-1467,-811,-1066,153,1
-7436,-28,17856,-2236,-2055,-527,106,1
-3752,2316,13760,-2236,-2055,-527,68,1
-14404,5724,32767,-495,-820,74,130,1
-14236,3680,32767,-1237,-4866,-70,169,1
3568,1828,6896,-770,-1565,905,122,1
-804,5528,-7264,-2475,406,682,136,1
-9568,-484,2216,-3316,-3519,-597,149,1
-2976,-10028,19236,-611,887,-1173,120,1
8488,2096,26180,1320,3289,-30,147,1
9644,1196,30388,1465,3580,387,104,1
-1932,6096,31388,-541,-602,102,112,1
-12396,-4392,23096,-1328,-4792,-109,143,1
-8900,-2772,16640,-795,-2320,799,136,1
-1440,5160,-7372,-3579,-1488,770,96,1
-988,-8732,21972,-779,-61,-928,129,1
-3672,2052,14172,-2343,-1947,-395,80,1
9476,1660,27832,2410,5104,319,116,1
4084,4212,31460,1044,2646,579,132,1
7488,2816,31728,444,1662,326,132,1
